Date,mun_geocod,mun_nome,mun_lat,mun_lon,mun_uf_nome,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,vento_direcao_grau,vento_velocidade_ms
3/5/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,74.05,NA,10.975,35.925,0.375,0,27.775,74.5,123.75,4.975
3/6/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,72.35,NA,10.775,58.8,0.375,0,28.175,74.25,127,5.075
3/7/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,69.7,NA,10.375,32.73333333,0.4,0,27.85,74.25,116.5,3.525
3/8/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,76.025,NA,10.5,353.675,0.45,0,27.6,80,108.5,3.375
3/9/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,72.325,NA,10.45,527,0.45,2,26.45,88,117.5,3.75
3/10/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,74.95,NA,10.525,545.7,0.45,3,26.95,84.75,117.5,3.95
3/11/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,73.875,NA,10.675,124.975,0.425,1,27.45,78.25,123.25,4.2
3/12/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,66.15,NA,11,106.775,0.4,0,27.475,77.25,114.5,4.15
3/13/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,62.25,NA,11.05,279.225,0.425,0,27.475,79,86.75,3.5
3/14/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,68.3,NA,11.05,573.975,0.4,4,27.35,81.5,70,3.3
